Comment,Designator,Footprint,LCSC
4.7kΩ,"R11,R12",R_0402_1005Metric,C105871
0Ω,"R13,R14,R9",R_0402_1005Metric,C106231
LIS2DH12TR,U7,PQFN50P200X200100-12N,C110926
33Ω,"R15,R16,R20",R_0402_1005Metric,C138002
1MΩ,"R19,R21,R22,R23",R_0402_1005Metric,C138033
10nF,C1,C_0402_1005Metric,C15195
100nF,"C10,C11,C12,C13,C14,C15,C17,C19,C20,C4,C7,C9",C_0402_1005Metric,C1525
~,U4,SON125P500X300X100-8N,C15639
4.7μF,"C16,C2,C3",C_0603_1608Metric,C1705
RAK3172,U2,RAK3172,C18548052
10µH,L2,INDC1608X90N,C194437
10μF,"C21,C8",C_0603_1608Metric,C19702
4.22MΩ,R2,R_0402_1005Metric,C2091474
TMP117NAIYBGR,U5,BGA6N40P3X2_148X95X53,C2871893
4.75MΩ,"R3,R7",R_0402_1005Metric,C2998153
T3902,MK1,MIC_T3902,C3171752
~,U3,XCVR_MAX-M10S-00B,C4153167
8.25MΩ,"R1,R6",R_0402_1005Metric,C423131
3.65MΩ,R4,R_0402_1005Metric,C477700
~,U6,21-0147E,C492374
4.42MΩ,R5,R_0402_1005Metric,C49654874
~,U1,QFN50P350X350X100-21N,C506250
22µH,L1,IND_LPS4018-223MRC,C5278935
22µF,C6,C_0805_2012Metric,C602037
10kΩ,"R10,R18",R_0402_1005Metric,C60490
100kΩ,R8,R_0402_1005Metric,C60491
~,R17,C_0402_1005Metric,C76884
ESD9B3.3ST5G,D3,D_SOD-523,C85377
Antenna,AE2,4269,
Conn_PinHeader_1x07_P2.54mm_Vertical_THT_D1mm,J4,PinHeader_1x07_P1.00mm_Vertical,
Conn_PinHeader_1x07_P2.54mm_Vertical_THT_D1mm,J3,PinHeader_1x07_P1.00mm_Vertical,
Antenna,AE1,4269,
1F,C5,DMF4B5R5G105M3DTA0,
Conn_Header_JST_PH_1x02_P2mm_Vertical_SMD,J2,PinHeader_1x02_P1.00mm_Vertical,
Conn_Header_JST_PH_1x02_P2mm_Vertical_SMD,J1,PinHeader_1x02_P1.00mm_Vertical,
