Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,Antenna,4269,68.396,-82.703,-90.0,top
AE2,Antenna,4269,62.882,-33.218,90.0,top
C1,10nF,C_0402_1005Metric,64.422,-36.521,270.0,bottom
C10,100nF,C_0402_1005Metric,58.306,-47.267,90.0,top
C11,100nF,C_0402_1005Metric,68.212,-58.003,90.0,top
C12,100nF,C_0402_1005Metric,71.049,-41.627,-90.0,top
C13,100nF,C_0402_1005Metric,58.3055,-53.914,-90.0,top
C14,100nF,C_0402_1005Metric,67.313,-40.211,90.0,top
C15,100nF,C_0402_1005Metric,55.647999,-81.063998,0.0,top
C16,4.7μF,C_0603_1608Metric,65.941,-40.257,90.0,top
C17,100nF,C_0402_1005Metric,55.113,-67.702999,0.0,top
C19,100nF,C_0402_1005Metric,70.227001,-35.953,180.0,top
C2,4.7μF,C_0603_1608Metric,63.873,-39.142,270.0,bottom
C20,100nF,C_0402_1005Metric,68.703,-37.4,90.0,top
C21,10μF,C_0603_1608Metric,70.262,-34.647,180.0,top
C3,4.7μF,C_0603_1608Metric,65.880998,-42.066998,0.0,bottom
C4,100nF,C_0402_1005Metric,65.975,-40.709998,0.0,bottom
C5,1F,DMF4B5R5G105M3DTA0,64.875,-46.207,0.0,bottom
C6,22µF,C_0805_2012Metric,70.956,-38.591,270.0,bottom
C7,100nF,C_0402_1005Metric,58.477,-62.720001,180.0,top
C8,10μF,C_0603_1608Metric,58.467002,-61.430999,180.0,top
C9,100nF,C_0402_1005Metric,62.938002,-62.698999,180.0,top
D3,ESD9B3.3ST5G,D_SOD-523,60.284,-41.1215,90.0,top
J1,Conn_Header_JST_PH_1x02_P2mm_Vertical_SMD,PinHeader_1x02_P1.00mm_Vertical,74.583,-58.528,0.0,bottom
J2,Conn_Header_JST_PH_1x02_P2mm_Vertical_SMD,PinHeader_1x02_P1.00mm_Vertical,54.781,-58.532,0.0,bottom
J3,Conn_PinHeader_1x07_P2.54mm_Vertical_THT_D1mm,PinHeader_1x07_P1.00mm_Vertical,54.444999,-72.173998,0.0,top
J4,Conn_PinHeader_1x07_P2.54mm_Vertical_THT_D1mm,PinHeader_1x07_P1.00mm_Vertical,75.531,-72.158,0.0,top
L1,22µH,IND_LPS4018-223MRC,60.103,-38.1865,90.0,bottom
L2,10µH,INDC1608X90N,70.172,-41.22,180.0,bottom
MK1,T3902,MIC_T3902,56.0985,-54.884,0.0,top
R1,8.25MΩ,R_0402_1005Metric,65.934,-34.206,270.0,bottom
R10,10kΩ,R_0402_1005Metric,61.198,-62.074001,-90.0,top
R11,4.7kΩ,R_0402_1005Metric,74.648001,-79.004996,180.0,top
R12,4.7kΩ,R_0402_1005Metric,74.642,-77.899,180.0,top
R13,0Ω,R_0402_1005Metric,67.552,-55.547,0.0,top
R14,0Ω,R_0402_1005Metric,67.550999,-54.408,0.0,top
R15,33Ω,R_0402_1005Metric,73.578,-51.71,180.0,top
R16,33Ω,R_0402_1005Metric,73.566,-50.575,180.0,top
R17,~,C_0402_1005Metric,56.414,-50.858,-90.0,top
R18,10kΩ,R_0402_1005Metric,73.583,-44.545,90.0,top
R19,1MΩ,R_0402_1005Metric,55.618,-83.313,0.0,top
R2,4.22MΩ,R_0402_1005Metric,64.847,-34.212001,270.0,bottom
R20,33Ω,R_0402_1005Metric,58.2925,-55.92,-90.0,top
R21,1MΩ,R_0402_1005Metric,55.637,-82.209999,180.0,top
R22,1MΩ,R_0402_1005Metric,54.573,-66.188999,-90.0,top
R23,1MΩ,R_0402_1005Metric,55.692,-66.193999,90.0,top
R3,4.75MΩ,R_0402_1005Metric,68.354,-34.198,270.0,bottom
R4,3.65MΩ,R_0402_1005Metric,67.023,-34.213001,90.0,bottom
R5,4.42MΩ,R_0402_1005Metric,69.447,-34.198,90.0,bottom
R6,8.25MΩ,R_0402_1005Metric,70.557,-34.194,270.0,bottom
R7,4.75MΩ,R_0402_1005Metric,71.67,-34.175,90.0,bottom
R8,100kΩ,R_0402_1005Metric,70.97,-36.276,180.0,bottom
R9,0Ω,R_0402_1005Metric,64.666999,-62.062001,-90.0,top
U1,~,QFN50P350X350X100-21N,67.190998,-37.814999,180.0,bottom
U2,RAK3172,RAK3172,64.95,-72.205,180.0,top
U3,~,XCVR_MAX-M10S-00B,65.537,-48.414,180.0,top
U4,~,SON125P500X300X100-8N,71.023,-58.808,0.0,top
U5,TMP117NAIYBGR,BGA6N40P3X2_148X95X53,73.148,-40.864,0.0,top
U6,~,21-0147E,68.8941,-40.573,0.0,top
U7,LIS2DH12TR,PQFN50P200X200100-12N,70.548,-37.807,90.0,top
